idx,family,dur_s
0,qwen2.5-1.5b,3133
1,qwen2.5-1.5b,3214
2,qwen2.5-1.5b,3126
3,qwen2.5-1.5b,3134
4,qwen2.5-1.5b,3131
5,qwen2.5-1.5b,3070
6,llama3.2-1b,1824
7,llama3.2-1b,1891
8,llama3.2-1b,1801
9,llama3.2-1b,1892
10,llama3.2-1b,1848
11,llama3.2-1b,1807
12,qwen2.5-1.5b,3133
13,qwen2.5-1.5b,3110
14,qwen2.5-1.5b,3119
15,qwen2.5-1.5b,3195
16,qwen2.5-1.5b,3152
17,qwen2.5-1.5b,3116
18,llama3.2-1b,1814
19,llama3.2-1b,1807
20,llama3.2-1b,1802
21,llama3.2-1b,1906
22,llama3.2-1b,1860
23,llama3.2-1b,1834
24,qwen2.5-1.5b,3134
25,qwen2.5-1.5b,3022
26,qwen2.5-1.5b,3193
27,qwen2.5-1.5b,3303
28,qwen2.5-1.5b,3202
29,qwen2.5-1.5b,3106
30,llama3.2-1b,1802
31,llama3.2-1b,1779
32,llama3.2-1b,1787
33,llama3.2-1b,1977
34,llama3.2-1b,1882
35,llama3.2-1b,1825
36,qwen2.5-1.5b,3055
37,qwen2.5-1.5b,3028
38,qwen2.5-1.5b,3027
39,qwen2.5-1.5b,3159
40,qwen2.5-1.5b,3096
41,qwen2.5-1.5b,3057
42,llama3.2-1b,1784
43,llama3.2-1b,1753
44,llama3.2-1b,1761
45,llama3.2-1b,1874
46,llama3.2-1b,1810
47,llama3.2-1b,1765
48,qwen2.5-1.5b,3061
49,qwen2.5-1.5b,3035
50,qwen2.5-1.5b,3022
51,qwen2.5-1.5b,3113
52,qwen2.5-1.5b,3081
53,qwen2.5-1.5b,3043
54,llama3.2-1b,1791
55,llama3.2-1b,1747
56,llama3.2-1b,1762
57,llama3.2-1b,1877
58,llama3.2-1b,1842
59,llama3.2-1b,1776
60,qwen2.5-1.5b,3071
61,qwen2.5-1.5b,3016
62,qwen2.5-1.5b,3024
63,qwen2.5-1.5b,3137
64,qwen2.5-1.5b,3101
65,qwen2.5-1.5b,3057
66,llama3.2-1b,1782
67,llama3.2-1b,1755
68,llama3.2-1b,1837
69,llama3.2-1b,1958
70,llama3.2-1b,1946
71,llama3.2-1b,1789
72,qwen2.5-1.5b,3140
73,qwen2.5-1.5b,3091
74,qwen2.5-1.5b,3099
75,qwen2.5-1.5b,3263
76,qwen2.5-1.5b,3160
77,qwen2.5-1.5b,3120
78,llama3.2-1b,1813
79,llama3.2-1b,1790
80,llama3.2-1b,1800
81,llama3.2-1b,1910
82,llama3.2-1b,1862
83,llama3.2-1b,1817
84,qwen2.5-1.5b,3160
85,qwen2.5-1.5b,3130
86,qwen2.5-1.5b,3135
87,qwen2.5-1.5b,3216
88,qwen2.5-1.5b,3169
89,qwen2.5-1.5b,3149
90,llama3.2-1b,1814
91,llama3.2-1b,1789
92,llama3.2-1b,1784
93,llama3.2-1b,1907
94,llama3.2-1b,1834
95,llama3.2-1b,1810
96,qwen2.5-1.5b,2998
97,qwen2.5-1.5b,2976
98,qwen2.5-1.5b,2948
99,qwen2.5-1.5b,3057
100,qwen2.5-1.5b,3022
101,qwen2.5-1.5b,2972
102,llama3.2-1b,1792
103,llama3.2-1b,1757
104,llama3.2-1b,1775
105,llama3.2-1b,1880
106,llama3.2-1b,1828
107,llama3.2-1b,1775
108,qwen2.5-1.5b,3018
109,qwen2.5-1.5b,2962
110,qwen2.5-1.5b,2974
111,qwen2.5-1.5b,3056
112,qwen2.5-1.5b,3033
113,qwen2.5-1.5b,3044
114,llama3.2-1b,1842
115,llama3.2-1b,1808
116,llama3.2-1b,1827
117,llama3.2-1b,1941
118,llama3.2-1b,1880
119,llama3.2-1b,1832
120,qwen2.5-1.5b,3069
121,qwen2.5-1.5b,3024
122,qwen2.5-1.5b,3009
123,qwen2.5-1.5b,3126
124,qwen2.5-1.5b,3095
125,qwen2.5-1.5b,3042
126,llama3.2-1b,1844
